Date : 2026-03-12 00:45:41
Directory : /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt
Total : 220 files,  35297 codes, 676 comments, 3065 blanks, all 39038 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/client_utils/staff_avatar.ts                                                                                                                           | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/Dashboard_components/DashboardTopSellingTable.vue                                                                                           | Vue                |         84 |          0 |          8 |         92 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/Dashboard_components/Dashboard_Header.vue                                                                                                   | Vue                |         67 |          0 |         12 |         79 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/Dashboard_components/Dashboard_KPI.vue                                                                                                      | Vue                |         41 |          0 |          4 |         45 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/Dashboard_components/Dashboard_NavBar.vue                                                                                                   | Vue                |         24 |          1 |         14 |         39 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/Dashboard_components/Dashboard_SideBar.vue                                                                                                  | Vue                |         48 |          0 |          6 |         54 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/Dashboard_components/Monthly_Revenue.vue                                                                                                    | Vue                |         67 |          0 |         14 |         81 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/Dashboard_components/Recent_Orders.vue                                                                                                      | Vue                |        128 |          0 |         13 |        141 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/Dashboard_components/SoldbyCategory_Piechart.vue                                                                                            | Vue                |         86 |          0 |         13 |         99 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/Dashboard_components/TopSelling_Items.vue                                                                                                   | Vue                |         64 |          0 |          7 |         71 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/booking_components/AddBooking_Modal.vue                                                                                                     | Vue                |        126 |          2 |         34 |        162 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/booking_components/Booking_DetailsCard.vue                                                                                                  | Vue                |         87 |          0 |         18 |        105 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/booking_components/Loading_booking.vue                                                                                                      | Vue                |        211 |         35 |         44 |        290 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/home_components/About_Section.vue                                                                                                           | Vue                |         87 |          0 |         16 |        103 |
