"filename", "language", "TypeScript", "Vue", "XML", "PostCSS", "JSON", "JSON with Comments", "YAML", "Prisma", "Markdown", "MS SQL", "comment", "blank", "total"
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/staff_components/Staff_Card_Loading.vue", "Vue", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 65
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/staff_components/Staff_Delete.vue", "Vue", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 87
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/stock_components/AddStockDialog.vue", "Vue", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 163
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/stock_components/DeleteStockDialog.vue", "Vue", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 66
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/stock_components/RestockDialog.vue", "Vue", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 118
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/stock_components/StockEmptyState.vue", "Vue", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/stock_components/StockFilterBar.vue", "Vue", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/stock_components/StockItemCard.vue", "Vue", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 108
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/stock_components/StockItemCardSkeleton.vue", "Vue", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 43
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/stock_components/StockStatsCard.vue", "Vue", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38
